RGI_ID,name,calving_flux_Gtyr
RGI60-01.14443, Hubbard, 4.3
RGI60-01.14683, Yahtse, 1.3
RGI60-01.10689, Columbia, 2.6
RGI60-01.03377, Dawes, 0.6
RGI60-01.26732, Grand Pacific, 0.1
RGI60-01.04375, South Sawyer, 0.5
RGI60-01.10575, Harvard, 0.6
RGI60-01.03622, LeConte, 1.0
RGI60-01.09639, Chenega, 0.2
RGI60-01.20734, Johns Hopkins, 0.6
RGI60-01.14878, Guyot, 0.7
RGI60-01.23642, Tsaa, 0.4
RGI60-01.20891, Margerie, 0.1
RGI60-01.14391, Turner, 0.4
RGI60-01.10612, Yale, 0.4
RGI60-01.17843, Northwestern, 0.1
RGI60-01.10607, Meares, 0.2
RGI60-01.13638, Tyndall, 0.2
RGI60-01.03890, Sawyer, 0.1
RGI60-01.17876, McCarty, 0.2
RGI60-01.20968, McBride, 0.1
RGI60-01.10325, Barry, 0.2
RGI60-01.09810, Surprise, 0.1
RGI60-01.17807, Aialik, 0.3
RGI60-01.09426, Blackstone, 0.0
RGI60-01.17840, Holgate, 0.1
RGI60-01.09519, Beloit, 0.0
RGI60-01.20470, Lamplugh, 0.16
RGI60-01.23565, Nellie Juan, 0.11
RGI60-01.09757, Tiger, 0.07
RGI60-01.20830, Gilman, 0.03
RGI60-01.10299, Coxe, 0.02
RGI60-01.10431, Smith, 0.02
RGI60-01.22776, Anchor, 0.02
RGI60-01.14876, Grotto, 0.01
RGI60-01.17848, Ogive, 0.01
